Route,2015,2016,2017,2018,2019,2020,2019-2020 Change,Percent Change,2020 Rank
Q102,2663,2663,2756,3212,2749,1670,-1079,-0.39,189
Q103,1240,1385,1612,1740,1746,860,-886,-0.51,206
Q104,2264,2296,2237,2284,2231,1267,-964,-0.43,197
Q110,6463,6281,6063,5915,5505,2089,-3416,-0.62,169
Q111,13224,12390,11498,11124,10680,7097,-3583,-0.34,51
Q112,4915,5217,5304,5472,5189,1964,-3225,-0.62,179
Q113,4537,4569,4173,3828,3686,1907,-1779,-0.48,181
Q114,6227,6396,6126,5892,5523,3490,-2033,-0.37,122
S40/90,4671,4629,4378,4072,4460,3184,-1276,-0.29,132
S42,905,914,883,828,764,335,-429,-0.56,221
S44/94,7240,7016,6527,5928,5736,3315,-2421,-0.42,129
S46/96,7626,7299,6942,6435,6146,3557,-2589,-0.42,120
S48/98,7975,7702,7346,6700,6411,3897,-2514,-0.39,114
S51/81,4248,4169,3976,3661,3570,2083,-1487,-0.42,170
S52,3615,3450,3412,3119,3017,1821,-1196,-0.40,186
S53,9497,9378,9136,8340,7877,5209,-2668,-0.34,76
S54,1447,1315,1114,944,971,536,-435,-0.45,216
S55,390,355,298,289,277,132,-145,-0.52,229
S56,532,515,486,448,451,209,-242,-0.54,228
S57,1494,1436,1349,1183,1155,759,-396,-0.34,209
S59,3749,3592,3397,3065,2969,1833,-1136,-0.38,185
S61/91,4492,4385,4217,3931,3810,1982,-1828,-0.48,175
S62/92,4386,4431,4212,3821,3654,1965,-1689,-0.46,178
S66,1677,1659,1619,1537,1530,705,-825,-0.54,211
S74/84,5512,5411,5325,4898,4817,2798,-2019,-0.42,148
S76/86,4724,4617,4331,3849,3848,2363,-1485,-0.39,154
S78,6211,6163,6004,5411,5326,3100,-2226,-0.42,135
S79SBS,11070,11378,11266,10873,10744,6350,-4394,-0.41,59
S89,781,756,699,583,562,261,-301,-0.54,225
S93,3235,3686,3789,3659,4262,1979,-2283,-0.54,177
